Region,Autonomy,Originality,Inner Life
Northern Africa,0.4115,0.4705,0.353
Eastern Africa,0.538,0.6349999999999999,0.5975
Other Africa,0.5125,0.6000000000000001,0.5545
Eastern Asia,0.41400000000000003,0.42200000000000004,0.485
South Eastern Asia,0.4875,0.4755,0.5435
Southern Asia,0.49349999999999994,0.5630000000000001,0.5775
Western Asia,0.341,0.44299999999999995,0.5225
Other Asia,0.4545,0.49099999999999994,0.5375
Eastern Europe,0.47,0.456,0.4115
Northern Europe,0.368,0.5265000000000001,0.47350000000000003
Southern Europe,0.3825,0.4855,0.485
Western Europe,0.368,0.37400000000000005,0.303
Northern America,0.513,0.5435,0.517
Other North America,0.5155,0.5269999999999999,0.5109999999999999
South America,0.39549999999999996,0.38049999999999995,0.4255
Oceania,0.5385,0.3465,0.5005
