"id","Response","Theme"
"5163","AI making medical diagnosis, as research has showed that AI is biased and it only makes a decision based on the algorithm and info fed to it before.If there is less information or research about a certain demographic of people or diseases, it doesn’t account it and it makes decisions technically and can’t be trusted with judging court cases as it cannot understand the complexities of human emotions and human spontaneity","Medical & Healthcare"
"5164","Helping me solve a very personal problem, I would not want to trust an AI with my deeply personal problems ","Personal & Emotional Life"
"5165","On how to educate children.

I think that being AI it would be based on theories of education and behavior, so it would be based on that information without caring about the feelings or considerations that a parent has for a child.

","Personal & Emotional Life"
"5166","AI making a decision in medical diagnosis and treatment for my loved one

eg.if my parent were diagnose with a complex illness I would hesitate to trust AI alone.While AI alone can analyse vast data and predict outcomes it lacks understanding of emotional context and empathy



","Medical & Healthcare"
"5167","It is Hard to make ai understandable. Sometimes I said some prompt, but I cannot understand it clearly or completely so they can like give really weird answer to me","General Mistrust / Inaccuracy"
"5168","decisions about the life and death of a human, the fact that an AI decides whether a child is born or not, or whether a person dies or not, even if it is for the greater good","Life-or-Death & Moral Dilemmas"
"5169","Communicating to AI on what I should do on my personal problems, for example in family. The AI would not know how I really feel and would not be able to emotionally connect to me even if I provide it with a lot of details.","Personal & Emotional Life"
"5170","To be diagnosed by an AI without a doctor present.  An AI does not know which symptoms can belong to more than 1 illness, and a doctor would know which relevant questions to ask to diagnose correctly","Medical & Healthcare"
"5171","For example where a family member is diagnosed with a serios illness and multiple treatment options arevavailable, each with its own risks, benefits and potential outcomes. An AI driven system offers recommendations based on medical data, past outcomes from similar cases and statistical analysis of success rates. Then the AI suggests one treatment plan as the best option based on its calculations. Why feel uncomfortable; because of emotional complexity, trust and accountability ","Medical & Healthcare"
"5172","Imagine an AI deciding judicial sentences based on data from past cases. I’d be uneasy because AI might miss the human nuances of each case, like individual circumstances and emotional context. The AI could also reinforce biases present in historical data, potentially leading to unfair sentences. Such decisions require empathy and moral judgment that AI might lack, making its recommendations less just and equitable than those made by a human judge.","Legal & Justice System"
"5173","Medical diagnosis. As machine learning tend to be flaw and it seem to have trouble with conflicting information, these require on-hand diagnosis and experience from real human. ","Medical & Healthcare"
"5174","In medical if AI is used and suppose if the decisions are made wrong , it may cause to dealth also.","Medical & Healthcare"
"5175","Let AI handle personal information, information about family members, and know in depth about my financial status.","Data Privacy & Security"
"5176","when AI are task to make ethical decision.  Not sure if AI are capable to doing so","Life-or-Death & Moral Dilemmas"
"5177","In legal matters, where an AI would analyze the case and say based on its knowledge whether the person is guilty or not. What makes me uncomfortable is not knowing clearly what led the AI to make a certain decision, what the factors were or even what theoretical basis it used.","Legal & Justice System"
